cable_mag,Completeness,Contamination,Strain_heterogeneity,Genome_size_bp,contigs,N50_contigs_bp,Mean_contig_length_bp,Longest_contig_bp,GC,rrna_16S,rrna_23S,rrna_5S,unique_tRNA,gtdb_classification,fastani_ani,MAG_status,ncbi_id,project_id,study_link
AW-1,95.24,3.64,0,3394483,407,15186,8340,57254,46,1,1,2,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_022765985.1,PRJNA454675,NA
AW-2,89.5,2.45,0,3354977,696,7073,4820,34821,45.8,1,1,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765945.1,PRJNA454675,NA
AW-3_4,94.64,3.67,0,3468107,354,16032,9796,72480,45.9,1,1,3,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_022766005.1,PRJNA454675,NA
AW-5,93.49,4,10,3346399,444,12451,7536,78365,45.9,1,1,2,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_022766025.1,PRJNA454675,NA
AX-1_4,94.64,2.48,0,3429088,320,17826,10715,62789,46,1,1,1,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_022766045.1,PRJNA454675,NA
AX-2,89.16,4.46,10,3147900,818,5349,3848,21191,45.6,1,1,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022766065.1,PRJNA454675,NA
AX-5,83.2,3.27,0,3801519,1174,4057,3238,19832,46.9,1,1,1,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__Electrothrix aarhusiensis,96.1,MQ,GCA_022766085.1,PRJNA454675,NA
BRK-cMAG,94.05,3.27,14.29,3199950,1,3199950,3199950,3199950,54.8,2,2,2,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__,N/A,HQ,GCA_942493095.1,PRJEB52550,https://doi.org/10.1101/2022.10.26.513921 
EH-2,58.09,1.82,0,2795392,1297,2360,2155,12607,48.3,1,1,1,18,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765845.1,PRJNA454675,NA
ENR-cMAG,93.15,2.98,16.67,2938053,1,2938053,2938053,2938053,51.6,2,2,2,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__Electronema sp004284765,99.97,HQ,GCA_942492785.1,PRJEB52550,https://doi.org/10.1101/2022.10.26.513921 
F5,61.06,0.89,0,1764859,242,11512,7292,41746,51.7,1,1,1,17,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__,N/A,MQ,GCA_026122915.1,PRJNA278504,NA
GM-3_4,87.6,3.27,0,4094371,1190,4359,3440,29415,46.1,2,1,1,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765805.1,PRJNA454675,NA
GS,90.6,2.98,16.67,2762383,73,58414,37840,231366,51.9,2,1,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__Electronema sp004284765,100,HQ,GCA_004284765.1,PRJNA389779,https://doi.org/10.1073/pnas.190351411
KV,86.9,2.98,0,2705021,89,51179,30393,99065,48.3,0,0,0,18,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__,N/A,MQ,GCA_026645415.1,PRJNA889212,http://hdl.handle.net/20.500.12608/34057
LOE-1_4_5,86.86,2.22,28.57,3147556,784,5513,4014,31877,45,1,1,2,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022766095.1,PRJNA454675,NA
LOE-2,73.23,3.04,25,2817924,1070,3122,2633,19560,49,1,1,1,18,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022766145.1,PRJNA454675,NA
MAN-1_4,77.36,3.57,0,3125561,1177,3181,2655,13301,46.1,1,1,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022766125.1,PRJNA454675,NA
MAR-hqMAG,90.18,4.03,45.45,3215085,37,181725,86894,663782,46,2,2,2,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_942491745.1,PRJEB52550,https://doi.org/10.1101/2022.10.26.513921 
MAR-mqMAG,93.85,7.14,75,4029898,9,899093,447766,1305763,47.5,2,2,2,19,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__Electrothrix aarhusiensis,98.26,MQ,GCA_942491045.1,PRJEB52550,https://doi.org/10.1101/2022.10.26.513921 
MAR-scMAG,92,2.55,0,4075262,1,4075262,4075262,4075262,47.1,1,1,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_942492895.1,PRJEB52550,https://doi.org/10.1101/2022.10.26.513921 
MCF,91.27,2.38,0,3734523,143,44352,26115,136494,47.5,2,2,2,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__Electrothrix aarhusiensis,100,HQ,GCA_004028505.1,PRJNA187269,https://doi.org/10.1073/pnas.190351411
SY1,92.86,1.19,0,2802615,125,37487,22391,133131,57.3,0,0,1,19,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__Electronema sp011391865,100,MQ,GCA_011391865.1,PRJNA594844,https://doi.org/10.1128/msystems.00335-22
SY2,98.81,1.19,0,4003943,240,26191,16680,80330,47.3,0,0,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__Electrothrix sp011389815,100,MQ,GCA_011389815.1,PRJNA594844,https://doi.org/10.1128/msystems.00335-22
TB,74.44,6.07,45.45,2580186,539,7230,4786,37047,45.1,1,0,0,18,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_026122855.1,PRJNA278504,NA
UQ,70.97,1.79,33.33,2126064,216,16869,9719,64152,55.3,0,0,0,16,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__Electronema sp002413355,100,MQ,GCA_002413355.1,PRJNA348753,https://doi.org/10.1038/s41564-017-0012-7
US1,51.67,0.89,0,1306941,605,2386,2160,8358,48.4,1,1,0,15,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_026123055.1,PRJNA278504,NA
US4,87.73,1.81,0,3398574,307,17815,11070,64625,48.7,1,1,0,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_026123015.1,PRJNA278504,NA
